Lugar,Carro,Motorista,Navegador,Modelo,Cor,J1,J2,J3,J4,J5,J6,J7,J8,Total
11,7,Paula Nesralla,Gustavo Hoff,Jeep,Laranja,4,0,-1,-7,-9,6,1,-3,31
12,10,Edmundo Eichenberg,Leohnard Bayer,Toyota SW4,Preta,8,-7,0,8,4,4,0,-1,32
13,21,Pedro Bondan Schorr,Ricardo de Kroes,Ranger,Branca,-6,4,4,2,13,3,0,2,34
14,3,Cristina Freitas,Felipe Freitas,Creta,Prateada,8,8,-1,3,-2,1,-6,7,36
15,5,Debora Duarte,Caio Sbruzzi,Haval,Prata,9,-7,4,10,-5,5,1,1,42
16,24,Gustavo Brun,Debora Brun,TAOS,Prata,11,7,-2,-5,-2,-1,-4,10,42
17,31,Mauricio Cirne Lima,Santiago Cirne Lima,VW TAOS,Prata,10,6,3,7,6,5,3,2,42
18,4,Nicolas Kim,Alexandre Platt,Jeep Compass,Preto,20,3,3,2,4,3,3,5,43
19,2,Alberto Guerra,Vladimir Poli,,,17,10,0,4,3,6,4,-2,46
20,20,Bruno Haussen,Lucia Iolovitch,Bronco,Preto,11,8,-1,6,6,2,5,7,46
21,18,Daniel Borin,Laura Borin,Haval GWM,Preto,11,7,2,-1,-9,10,4,6,50
22,11,Raul Hemb,Pedro Henrique Hemb,Subaru,Azul,28,2,1,-5,-33,6,1,-6,82
23,17,Carolina Alencar,Gustavo Kosnitzer,Jeep Comander,Cinza,-76,2,2,4,1,0,-2,0,87
24,29,Alessandro Becker,Leonardo Abreu,Commander,Branca,13,0,-1,3,26,6,53,-7,109
25,19,Maria Regina Eichenberg,Fernanda Eichenberg,Eclipse,Preta,32,25,-30,1,5,2,14,-6,115
26,28,Rafael Borin,Bernardo Borin,Jeep Compass,,3,-19,-26,-24,-13,-25,36,-14,160
27,30,Isabel Hertz,Luciana Borin,,,-4,19,2,72,55,25,22,-3,202
28,16,Debora Poli,Nardila Poli,Suzuki SX4,Azul,-41,-28,-33,-39,-31,-21,-43,-52,288
29,23,Luiza Faria,Duda Medeiros,T-Cross,Preto,0,342,159,-6,-15,0,-6,3,531
30,6,Nicolas Kim,Ung Kim,,,-600,-600,-600,-600,-600,-600,-600,-600,4800
31,8,Felipe Hemb,Ana Maria B. Hemb,Jeep Compass,Preto,-600,-600,-600,-600,-600,-600,-600,-600,4800
