Lugar,Total,Carro,Motorista,Navegador,J1,J2,J3,J4,J5,J6,J7,J8
1,9,12,Sandro Zilio,Guilherme Tonin,0,0,-1,1,1,-1,0,5
2,25,14,Pietro Reginatto,Vitoria Reginatto,-1,-4,1,-4,-4,-4,-2,5
3,27,9,Lucas Hemb,Leonardo Hemb,0,1,0,-3,-10,-8,-2,3
4,27,1,Rogerio Silva,Rodrigo Freitas,0,-2,1,-1,-6,-12,3,2
5,29,2,Alberto Guerra,Vladimir Poli,3,1,1,0,2,11,0,11
6,32,13,Leonardo Fração,Oliver Goldschmidt,4,-2,5,4,-2,-6,1,8
7,35,26,Alberto C. Mariz,Pedro Valle,0,1,15,-7,-1,-4,2,5
8,38,24,Gustavo Brun,Debora Brun,3,3,-2,0,-4,9,-1,16
9,51,17,Carolina Alencar,Gustavo Kosnitzer,1,-1,-2,-18,-6,10,1,12
10,52,25,Rene Moura,Priscilla Ortiz,-3,-2,0,-13,-15,-8,-4,7
11,57,7,Paula Nesralla,Gustavo Hoff,-7,-4,-6,-29,-4,-1,-2,4
12,60,3,Cristina Freitas,Felipe Freitas,4,-1,-5,-13,6,-7,-3,21
13,64,5,Debora Duarte,Caio Sbruzzi,4,2,5,-6,-8,-9,21,9
14,84,4,Nicolas Kim,Alexandre Platt,47,3,3,14,7,2,2,6
15,94,31,Mauricio Cirne Lima,Santiago Cirne Lima,-2,0,-76,0,7,2,1,6
16,147,29,Alessandro Becker,Leonardo Abreu,62,-4,21,2,-36,9,-1,12
17,260,21,Pedro Bondan Schorr,Ricardo de Kroes,1,-2,229,-17,0,-1,2,8
18,298,15,Marcelo Luque,Thomas Poli,275,0,4,9,-2,3,2,3
19,400,20,Bruno Haussen,Lucia Iolovitch,42,4,286,-50,-5,3,1,9
20,716,22,Pedro Jardim,Mariana Fredel,2,-1,-600,-61,-2,6,-3,41
21,810,19,Maria Regina Eichenberg,Fernanda Eichenberg,-36,1,355,377,-11,14,5,11
22,973,27,Andreia Fagherazzi,Patricia Valle,3,-2,-600,326,-5,-12,-7,18
23,1212,10,Edmundo Eichenberg,Leohnard Bayer,4,1,2,-3,1,-1,-600,600
24,1437,16,Debora Poli,Nardila Poli,469,114,100,559,157,-30,6,-2
25,2142,11,Raul Hemb,Pedro Henrique Hemb,-600,-600,-600,64,71,66,69,72
26,4800,6,Nicolas Kim,Ung Kim,-600,-600,-600,-600,-600,-600,-600,-600
27,4800,8,Felipe Hemb,Ana Maria B. Hemb,-600,-600,-600,-600,-600,-600,-600,-600
28,4800,18,Daniel Borin,Laura Borin,-600,-600,-600,-600,-600,-600,-600,-600
29,4800,23,Luiza Faria,Duda Medeiros,-600,-600,-600,-600,-600,-600,-600,-600
30,4800,28,Rafael Borin,Bernardo Borin,-600,-600,-600,-600,-600,-600,-600,-600
31,4800,30,Isabel Hertz,Luciana Borin,-600,-600,-600,-600,-600,-600,-600,-600
